==2677== NVPROF is profiling process 2677, command: /home/lanchuanxin/ProgramFile/anaconda3/envs/tensorflow_gpu/bin/python label_image.py new_test_images_nvprof/
==2677== Profiling application: /home/lanchuanxin/ProgramFile/anaconda3/envs/tensorflow_gpu/bin/python label_image.py new_test_images_nvprof/
==2677== Profiling result:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
%,ms,,ms,ms,ms,
12.524895,139.372860,7332,0.019008,0.004224,0.259401,"_ZN5Eigen8internal15EigenMetaKernelINS_15TensorEvaluatorIKNS_14TensorAssignOpINS_17TensorReshapingOpIKNS_6DSizesIiLi2EEENS_9TensorMapINS_6TensorIfLi4ELi1ElEELi16ENS_11MakePointerEEEEEKNS_19TensorCwiseBinaryOpINS0_13scalar_sum_opIffEEKNSE_INS0_17scalar_product_opIffEEKNSE_INS0_20scalar_difference_opIKfSK_EEKNS4_IS7_KNS8_INS9_ISK_Li4ELi1ElEELi16ESB_EEEEKNS_20TensorBroadcastingOpIKNS_9IndexListIiJNS_10type2indexILl1EEEEEEKNS4_IKNSS_ISU_JiEEEKNS8_INS9_ISK_Li1ELi1ElEELi16ESB_EEEEEEEEKNSR_ISW_KNS4_ISY_KNS_18TensorForcedEvalOpIKNS_18TensorCwiseUnaryOpINS0_15scalar_rsqrt_opIfEEKNSE_INSF_ISK_SK_EES11_KNS_20TensorCwiseNullaryOpINS0_18scalar_constant_opISK_EES11_EEEEEEEEEEEEEES15_EEEENS_9GpuDeviceEEElEEvT_T0_"
9.574521,106.542082,2028,0.052535,0.045570,0.065442,"maxwell_sgemm_128x64_raggedMn_nn_splitK"
8.930946,99.380597,785,0.126599,0.104835,0.461135,"maxwell_scudnn_128x128_relu_small_nn"
7.073354,78.709929,1884,0.041778,0.023073,0.140421,"void fft1d_r2c_32<float, float, float2, bool=1, bool=0>(float2*, float const *, int, int3, int3, int2, int2)"
6.611527,73.570875,1884,0.039050,0.028193,0.152069,"maxwell_gcgemmBatched_64x32_raggedMn_nt"
5.837879,64.961977,4212,0.015423,0.003232,0.097252,"void tensorflow::functor::SwapDimension0And2InTensor3Simple<float>(int, float const *, tensorflow::functor::Dimension<int=3>, tensorflow::functor::SwapDimension0And2InTensor3Simple<float>*)"
4.774477,53.128796,702,0.075682,0.029153,0.117444,"_ZN5Eigen8internal15EigenMetaKernelINS_15TensorEvaluatorIKNS_14TensorAssignOpINS_18TensorLayoutSwapOpINS_9TensorMapINS_6TensorIfLi4ELi1EiEELi16ENS_11MakePointerEEEEEKNS_17TensorReshapingOpIKNS_6DSizesIiLi4EEEKNS_17TensorReductionOpINS0_18AvgPoolMeanReducerIfEEKNS_9IndexListINS_10type2indexILl1EEEJNSJ_ILl2EEEEEEKNS_18TensorImagePatchOpILln1ELln1EKNS4_IKNS5_INS6_IKfLi4ELi1EiEELi16ES8_EEEEEES8_EEEEEENS_9GpuDeviceEEEiEEvT_T0_"
4.213500,46.886422,942,0.049773,0.021057,0.121124,"maxwell_scudnn_winograd_128x128_ldg1_ldg4_tile148n_nt"
3.483724,38.765721,8346,0.004644,0.002144,0.031777,"void tensorflow::functor::SwapDimension1And2InTensor3UsingTiles<float, int=32, int=8>(float const *, tensorflow::functor::Dimension<int=3>, tensorflow::functor::SwapDimension1And2InTensor3UsingTiles<float, int=32, int=8>*)"
3.398350,37.815713,1014,0.037293,0.026785,0.049409,"void magma_lds128_sgemm_kernel<bool=0, bool=0, int=6, int=5, int=3, int=3, int=3>(int, int, int, float const *, int, float const *, int, float*, int, int, int, float const *, float const *, float, float, int)"
3.144739,34.993605,244,0.143416,0.113411,0.164197,"maxwell_scudnn_128x64_relu_small_nn"
2.758995,30.701179,172,0.178495,0.059682,0.335275,"void cudnn::detail::explicit_convolve_sgemm<float, int, int=128, int=5, int=5, int=3, int=3, int=3, int=0, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::explicit_convolve_sgemm<float, int, int=128, int=5, int=5, int=3, int=3, int=3, int=0, bool=1>*, kernel_conv_params, int, int, float, float, int, float const *, float const *)"
